Thuật toán,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.8476167549350024,0.9331726907630522,0.8723532061871152,0.9017385904998447
Random Forest,0.9327154549831488,0.9755222949797319,0.9396305751614357,0.9572401132104337
